rgn_id,taxa_code,taxa_group,year,tonnes
1,Atlantic bluefin tuna_684,F,1985,38
1,Atlantic bluefin tuna_684,F,1986,60
1,Atlantic bluefin tuna_684,F,1987,109
1,Atlantic bluefin tuna_684,F,1988,47
1,Atlantic bluefin tuna_684,F,1989,237
1,Atlantic bluefin tuna_684,F,1990,358
1,Atlantic bluefin tuna_684,F,1991,16
1,Atlantic bluefin tuna_684,F,1992,19
1,Atlantic bluefin tuna_684,F,1993,19
1,Atlantic bluefin tuna_684,F,1994,0
1,Atlantic bluefin tuna_684,F,1995,15
1,Atlantic bluefin tuna_684,F,1996,77
1,Atlantic bluefin tuna_684,F,1997,33
1,Atlantic bluefin tuna_684,F,1998,390
1,Atlantic bluefin tuna_684,F,1999,670
1,Atlantic bluefin tuna_684,F,2000,740
1,Atlantic bluefin tuna_684,F,2001,890
1,Atlantic bluefin tuna_684,F,2002,980
1,Atlantic bluefin tuna_684,F,2003,740
1,Atlantic bluefin tuna_684,F,2004,1280
1,Atlantic bluefin tuna_684,F,2005,670
1,Atlantic bluefin tuna_684,F,2006,510
1,Atlantic bluefin tuna_684,F,2007,820
1,Atlantic bluefin tuna_684,F,2008,640
1,Atlantic bluefin tuna_684,F,2009,480
1,Atlantic bluefin tuna_684,F,2010,360
1,Atlantic bluefin tuna_684,F,2011,575
1,Atlantic bluefin tuna_684,F,2012,555
1,Atlantic bluefin tuna_684,F,2013,305
1,Atlantic bluefin tuna_684,F,2014,320
1,Atlantic bluefin tuna_684,F,2015,940
1,Atlantic bluefin tuna_684,F,2016,910
1,Atlantic salmon_685,F,1984,150
1,Atlantic salmon_685,F,1985,150
1,Atlantic salmon_685,F,1986,150
1,Atlantic salmon_685,F,1987,150
1,Atlantic salmon_685,F,1988,150
1,Atlantic salmon_685,F,1989,150
1,Atlantic salmon_685,F,1990,355
1,Atlantic salmon_685,F,1991,553
1,Atlantic salmon_685,F,1992,782
1,Atlantic salmon_685,F,1993,562
1,Atlantic salmon_685,F,1994,909
1,Atlantic salmon_685,F,1995,695
1,Atlantic salmon_685,F,1996,726
1,Atlantic salmon_685,F,1997,851
1,Atlantic salmon_685,F,1998,798
1,Atlantic salmon_685,F,1999,618
1,Atlantic salmon_685,F,2000,226
1,Atlantic salmon_685,F,2001,323
1,Atlantic salmon_685,F,2002,150
1,Atlantic salmon_685,F,2003,15
1,Atlantic salmon_685,F,2004,12
1,Atlantic salmon_685,F,2005,0
1,Atlantic salmon_685,F,2006,0
1,Atlantic salmon_685,F,2007,0
1,Atlantic salmon_685,F,2008,0
1,Atlantic salmon_685,F,2009,110
1,Atlantic salmon_685,F,2010,79.2
1,Atlantic salmon_685,F,2011,0
1,Atlantic salmon_685,F,2012,4
1,Atlantic salmon_685,F,2013,0
1,Atlantic salmon_685,F,2014,3.8
1,Atlantic salmon_685,F,2015,7.79
1,Atlantic salmon_685,F,2016,5.16
1,Banded carpet shell_686,BI,1996,560
1,Banded carpet shell_686,BI,1997,900
1,Banded carpet shell_686,BI,1998,700
1,Banded carpet shell_686,BI,1999,700
1,Banded carpet shell_686,BI,2000,0
1,Banded carpet shell_686,BI,2001,0
1,Banded carpet shell_686,BI,2002,0
1,Banded carpet shell_686,BI,2003,0
1,Banded carpet shell_686,BI,2004,0
1,Banded carpet shell_686,BI,2005,0
1,Banded carpet shell_686,BI,2006,0
1,Banded carpet shell_686,BI,2007,0.1
1,Banded carpet shell_686,BI,2008,0.1
1,Banded carpet shell_686,BI,2009,0
1,Banded carpet shell_686,BI,2010,0
1,Banded carpet shell_686,BI,2011,0
1,Banded carpet shell_686,BI,2012,0
1,Banded carpet shell_686,BI,2013,0
1,Banded carpet shell_686,BI,2014,0
1,Banded carpet shell_686,BI,2015,0
1,Banded carpet shell_686,BI,2016,0
1,Blackspot(=red) seabream_687,F,2002,2
1,Blackspot(=red) seabream_687,F,2003,22
1,Blackspot(=red) seabream_687,F,2004,100
1,Blackspot(=red) seabream_687,F,2005,118
1,Blackspot(=red) seabream_687,F,2006,134
1,Blackspot(=red) seabream_687,F,2007,194
1,Blackspot(=red) seabream_687,F,2008,200
1,Blackspot(=red) seabream_687,F,2009,183.35
1,Blackspot(=red) seabream_687,F,2010,214.2
