rgn_id,year,taxa_code,sust_coeff
1,2012,Atlantic bluefin tuna_684,0.316666667
1,2012,Atlantic salmon_685,0.17
1,2012,Banded carpet shell_686,0.811764706
1,2012,Blackspot(=red) seabream_687,0.444010417
1,2012,Caramote prawn_688,0.366666667
1,2012,"Clams, etc. nei_689",0.766666667
1,2012,Common dentex_690,0.444010417
1,2012,Common edible cockle_691,0.733333333
1,2012,Common edible cockle_692,0.733333333
1,2012,Common edible cockle_693,0.733333333
1,2012,Common prawn_694,0.366666667
1,2012,Common sole_695,0.533333333
1,2012,Common sole_696,0.533333333
1,2012,Cupped oysters nei_697,0.9
1,2012,Cupped oysters nei_698,0.9
1,2012,European eel_699,0.43
1,2012,European eel_700,0.43
1,2012,European flat oyster_701,0.83
1,2012,European flat oyster_702,0.83
1,2012,European flat oyster_703,0.83
1,2012,European seabass_704,0.43
1,2012,European seabass_705,0.43
1,2012,European seabass_706,0.43
1,2012,European seabass_707,0.43
1,2012,Gastropods nei_708,0.811764706
1,2012,Gilthead seabream_709,0.17
1,2012,Gilthead seabream_710,0.17
1,2012,Gilthead seabream_711,0.17
1,2012,Gilthead seabream_712,0.17
1,2012,Great Atlantic scallop_713,0.811764706
1,2012,Greater amberjack_714,0.444010417
1,2012,Green crab_715,0.416666667
1,2012,Grooved carpet shell_716,0.866666667
1,2012,Grooved carpet shell_717,0.866666667
1,2012,Grooved carpet shell_718,0.866666667
1,2012,Groundfishes nei_719,0.444010417
1,2012,Japanese carpet shell_720,0.841666667
1,2012,Japanese carpet shell_721,0.841666667
1,2012,Japanese carpet shell_722,0.841666667
1,2012,Kuruma prawn_723,0.5
1,2012,Kuruma prawn_724,0.5
1,2012,Marine fishes nei_725,0.477777778
1,2012,Marine molluscs nei_726,0.533333333
1,2012,Marine molluscs nei_727,0.533333333
1,2012,Meagre_728,0.444010417
1,2012,Meagre_729,0.444010417
1,2012,Meagre_730,0.444010417
1,2012,Meagre_731,0.444010417
1,2012,Mullets nei_732,0.561111111
1,2012,Mullets nei_733,0.561111111
1,2012,Octopuses nei_734,0.533333333
1,2012,Pacific cupped oyster_735,0.83
1,2012,Pacific cupped oyster_736,0.83
1,2012,Pacific cupped oyster_737,0.83
1,2012,Palaemonid shrimps nei_738,0.366666667
1,2012,Palaemonid shrimps nei_739,0.366666667
1,2012,Pod razor shell_740,0.811764706
1,2012,Pollack_741,0.444010417
1,2012,Pullet carpet shell_742,0.833333333
1,2012,Pullet carpet shell_743,0.833333333
1,2012,Queen scallop_744,0.811764706
1,2012,Seabasses nei_745,0.5
1,2012,Seabasses nei_746,0.5
1,2012,Seabasses nei_747,0.5
1,2012,Sea mussels nei_748,0.791666667
1,2012,Sea mussels nei_749,0.791666667
1,2012,Seaweeds nei_750,0.83
1,2012,Senegalese sole_751,0.444010417
1,2012,Senegalese sole_752,0.444010417
1,2012,Senegalese sole_753,0.444010417
1,2012,Silversides(=Sand smelts) nei_754,0.566666667
1,2012,Soles nei_755,0.444010417
1,2012,Soles nei_756,0.444010417
1,2012,Turbot_757,0.5
1,2012,Variegated scallop_758,0.811764706
1,2012,Variegated scallop_759,0.811764706
1,2012,Warty venus_760,0.811764706
1,2012,White seabream_761,0.444010417
2,2012,Atlantic bluefin tuna_684,0.316666667
2,2012,Atlantic salmon_685,0.17
2,2012,Banded carpet shell_686,0.811764706
2,2012,Blackspot(=red) seabream_687,0.444010417
2,2012,Caramote prawn_688,0.366666667
2,2012,"Clams, etc. nei_689",0.766666667
2,2012,Common dentex_690,0.444010417
2,2012,Common edible cockle_691,0.733333333
2,2012,Common edible cockle_692,0.733333333
2,2012,Common edible cockle_693,0.733333333
2,2012,Common prawn_694,0.366666667
2,2012,Common sole_695,0.533333333
2,2012,Common sole_696,0.533333333
2,2012,Cupped oysters nei_697,0.9
2,2012,Cupped oysters nei_698,0.9
2,2012,European eel_699,0.43
2,2012,European eel_700,0.43
2,2012,European flat oyster_701,0.83
2,2012,European flat oyster_702,0.83
2,2012,European flat oyster_703,0.83
2,2012,European seabass_704,0.43
2,2012,European seabass_705,0.43
2,2012,European seabass_706,0.43
2,2012,European seabass_707,0.43
2,2012,Gastropods nei_708,0.811764706
2,2012,Gilthead seabream_709,0.17
2,2012,Gilthead seabream_710,0.17
2,2012,Gilthead seabream_711,0.17
2,2012,Gilthead seabream_712,0.17
2,2012,Great Atlantic scallop_713,0.811764706
2,2012,Greater amberjack_714,0.444010417
2,2012,Green crab_715,0.416666667
2,2012,Grooved carpet shell_716,0.866666667
2,2012,Grooved carpet shell_717,0.866666667
2,2012,Grooved carpet shell_718,0.866666667
2,2012,Groundfishes nei_719,0.444010417
2,2012,Japanese carpet shell_720,0.841666667
2,2012,Japanese carpet shell_721,0.841666667
2,2012,Japanese carpet shell_722,0.841666667
2,2012,Kuruma prawn_723,0.5
2,2012,Kuruma prawn_724,0.5
2,2012,Marine fishes nei_725,0.477777778
2,2012,Marine molluscs nei_726,0.533333333
2,2012,Marine molluscs nei_727,0.533333333
2,2012,Meagre_728,0.444010417
2,2012,Meagre_729,0.444010417
2,2012,Meagre_730,0.444010417
2,2012,Meagre_731,0.444010417
2,2012,Mullets nei_732,0.561111111
2,2012,Mullets nei_733,0.561111111
2,2012,Octopuses nei_734,0.533333333
2,2012,Pacific cupped oyster_735,0.83
2,2012,Pacific cupped oyster_736,0.83
2,2012,Pacific cupped oyster_737,0.83
2,2012,Palaemonid shrimps nei_738,0.366666667
2,2012,Palaemonid shrimps nei_739,0.366666667
2,2012,Pod razor shell_740,0.811764706
2,2012,Pollack_741,0.444010417
2,2012,Pullet carpet shell_742,0.833333333
2,2012,Pullet carpet shell_743,0.833333333
2,2012,Queen scallop_744,0.811764706
2,2012,Seabasses nei_745,0.5
2,2012,Seabasses nei_746,0.5
2,2012,Seabasses nei_747,0.5
2,2012,Sea mussels nei_748,0.791666667
2,2012,Sea mussels nei_749,0.791666667
2,2012,Seaweeds nei_750,0.83
2,2012,Senegalese sole_751,0.444010417
2,2012,Senegalese sole_752,0.444010417
2,2012,Senegalese sole_753,0.444010417
2,2012,Silversides(=Sand smelts) nei_754,0.566666667
2,2012,Soles nei_755,0.444010417
2,2012,Soles nei_756,0.444010417
2,2012,Turbot_757,0.5
2,2012,Variegated scallop_758,0.811764706
2,2012,Variegated scallop_759,0.811764706
2,2012,Warty venus_760,0.811764706
2,2012,White seabream_761,0.444010417
3,2012,Atlantic bluefin tuna_684,0.316666667
3,2012,Atlantic salmon_685,0.17
3,2012,Banded carpet shell_686,0.811764706
3,2012,Blackspot(=red) seabream_687,0.444010417
3,2012,Caramote prawn_688,0.366666667
3,2012,"Clams, etc. nei_689",0.766666667
3,2012,Common dentex_690,0.444010417
3,2012,Common edible cockle_691,0.733333333
3,2012,Common edible cockle_692,0.733333333
3,2012,Common edible cockle_693,0.733333333
3,2012,Common prawn_694,0.366666667
3,2012,Common sole_695,0.533333333
3,2012,Common sole_696,0.533333333
3,2012,Cupped oysters nei_697,0.9
3,2012,Cupped oysters nei_698,0.9
3,2012,European eel_699,0.43
3,2012,European eel_700,0.43
3,2012,European flat oyster_701,0.83
3,2012,European flat oyster_702,0.83
3,2012,European flat oyster_703,0.83
3,2012,European seabass_704,0.43
3,2012,European seabass_705,0.43
3,2012,European seabass_706,0.43
3,2012,European seabass_707,0.43
3,2012,Gastropods nei_708,0.811764706
3,2012,Gilthead seabream_709,0.17
3,2012,Gilthead seabream_710,0.17
3,2012,Gilthead seabream_711,0.17
3,2012,Gilthead seabream_712,0.17
3,2012,Great Atlantic scallop_713,0.811764706
3,2012,Greater amberjack_714,0.444010417
3,2012,Green crab_715,0.416666667
3,2012,Grooved carpet shell_716,0.866666667
3,2012,Grooved carpet shell_717,0.866666667
3,2012,Grooved carpet shell_718,0.866666667
3,2012,Groundfishes nei_719,0.444010417
3,2012,Japanese carpet shell_720,0.841666667
3,2012,Japanese carpet shell_721,0.841666667
3,2012,Japanese carpet shell_722,0.841666667
3,2012,Kuruma prawn_723,0.5
3,2012,Kuruma prawn_724,0.5
3,2012,Marine fishes nei_725,0.477777778
3,2012,Marine molluscs nei_726,0.533333333
3,2012,Marine molluscs nei_727,0.533333333
3,2012,Meagre_728,0.444010417
3,2012,Meagre_729,0.444010417
3,2012,Meagre_730,0.444010417
3,2012,Meagre_731,0.444010417
3,2012,Mullets nei_732,0.561111111
3,2012,Mullets nei_733,0.561111111
3,2012,Octopuses nei_734,0.533333333
3,2012,Pacific cupped oyster_735,0.83
3,2012,Pacific cupped oyster_736,0.83
3,2012,Pacific cupped oyster_737,0.83
3,2012,Palaemonid shrimps nei_738,0.366666667
3,2012,Palaemonid shrimps nei_739,0.366666667
3,2012,Pod razor shell_740,0.811764706
3,2012,Pollack_741,0.444010417
3,2012,Pullet carpet shell_742,0.833333333
3,2012,Pullet carpet shell_743,0.833333333
3,2012,Queen scallop_744,0.811764706
3,2012,Seabasses nei_745,0.5
3,2012,Seabasses nei_746,0.5
3,2012,Seabasses nei_747,0.5
3,2012,Sea mussels nei_748,0.791666667
3,2012,Sea mussels nei_749,0.791666667
3,2012,Seaweeds nei_750,0.83
3,2012,Senegalese sole_751,0.444010417
3,2012,Senegalese sole_752,0.444010417
3,2012,Senegalese sole_753,0.444010417
3,2012,Silversides(=Sand smelts) nei_754,0.566666667
3,2012,Soles nei_755,0.444010417
3,2012,Soles nei_756,0.444010417
3,2012,Turbot_757,0.5
3,2012,Variegated scallop_758,0.811764706
3,2012,Variegated scallop_759,0.811764706
3,2012,Warty venus_760,0.811764706
3,2012,White seabream_761,0.444010417
4,2012,Atlantic bluefin tuna_684,0.316666667
4,2012,Atlantic salmon_685,0.17
4,2012,Banded carpet shell_686,0.811764706
4,2012,Blackspot(=red) seabream_687,0.444010417
