rgn_id,year,trend
1,2012,-0.0131
1,2013,-0.0044
1,2014,-0.0027
1,2015,-0.0149
1,2016,0.0072
2,2012,-0.0131
2,2013,-0.0044
2,2014,-0.0027
2,2015,-0.0149
2,2016,0.0072
3,2012,-0.0131
3,2013,-0.0044
3,2014,-0.0027
3,2015,-0.0149
3,2016,0.0072
4,2012,-0.0131
4,2013,-0.0044
4,2014,-0.0027
4,2015,-0.0149
4,2016,0.0072
5,2012,-0.0131
5,2013,-0.0044
5,2014,-0.0027
5,2015,-0.0149
5,2016,0.0072
6,2012,-0.0131
6,2013,-0.0044
6,2014,-0.0027
6,2015,-0.0149
6,2016,0.0072
7,2012,-0.0131
7,2013,-0.0044
7,2014,-0.0027
7,2015,-0.0149
7,2016,0.0072
