rgn_id,year,w_fis
1,2005,0.567149411890965
1,2006,0.686518783559599
1,2007,0.694667843609598
1,2008,0.680041926188514
1,2009,0.597663293570983
1,2010,0.709538865349296
1,2011,0.659736278627766
1,2012,0.67966952413747606
1,2013,0.563600587847229
1,2014,0.659760133071766
1,2015,0.682159217668583
2,2005,0.567149411890965
2,2006,0.686518783559599
2,2007,0.694667843609598
2,2008,0.680041926188514
2,2009,0.597663293570983
2,2010,0.709538865349296
2,2011,0.659736278627766
2,2012,0.67966952413747606
2,2013,0.563600587847229
2,2014,0.659760133071766
2,2015,0.682159217668583
3,2005,0.567149411890965
3,2006,0.686518783559599
3,2007,0.694667843609598
3,2008,0.680041926188514
3,2009,0.597663293570983
3,2010,0.709538865349296
3,2011,0.659736278627766
3,2012,0.67966952413747606
3,2013,0.563600587847229
3,2014,0.659760133071766
3,2015,0.682159217668583
4,2005,0.567149411890965
4,2006,0.686518783559599
4,2007,0.694667843609598
4,2008,0.680041926188514
4,2009,0.597663293570983
4,2010,0.709538865349296
4,2011,0.659736278627766
4,2012,0.67966952413747606
4,2013,0.563600587847229
4,2014,0.659760133071766
4,2015,0.682159217668583
5,2005,0.567149411890965
5,2006,0.686518783559599
5,2007,0.694667843609598
5,2008,0.680041926188514
5,2009,0.597663293570983
5,2010,0.709538865349296
5,2011,0.659736278627766
5,2012,0.67966952413747606
5,2013,0.563600587847229
5,2014,0.659760133071766
5,2015,0.682159217668583
6,2005,0.567149411890965
6,2006,0.686518783559599
6,2007,0.694667843609598
6,2008,0.680041926188514
6,2009,0.597663293570983
6,2010,0.709538865349296
6,2011,0.659736278627766
6,2012,0.67966952413747606
6,2013,0.563600587847229
6,2014,0.659760133071766
6,2015,0.682159217668583
7,2005,0.567149411890965
7,2006,0.686518783559599
7,2007,0.694667843609598
7,2008,0.680041926188514
7,2009,0.597663293570983
7,2010,0.709538865349296
7,2011,0.659736278627766
7,2012,0.67966952413747606
7,2013,0.563600587847229
7,2014,0.659760133071766
7,2015,0.682159217668583
