rgn_id,sciname,iucn_sid,year,eval_yr,category
1,Alopias vulpinus,39339,2018,2009,VU
1,Balaenoptera acutorostrata,2474,2018,2008,LC
1,Balaenoptera musculus,2477,2018,2008,EN
1,Balaenoptera physalus,2478,2018,2013,EN
1,Balaenoptera physalus,16208224,2018,2012,VU
1,Carcharodon carcharias,3855,2018,2009,VU
1,Caretta caretta,3897,2018,2017,VU
1,Caretta caretta,83644804,2018,2015,LC
1,Cetorhinus maximus,4292,2018,2009,VU
1,Cetorhinus maximus,39340,2018,2009,EN
1,Dermochelys coriacea,6494,2018,2013,VU
1,Dermochelys coriacea,46967827,2018,2013,LC
1,Eubalaena glacialis,41712,2018,2018,EN
1,Isurus oxyrinchus,39341,2018,2009,VU
1,Isurus paucus,60225,2018,2006,VU
1,Lamna nasus,11200,2018,2006,VU
1,Lamna nasus,39343,2018,2006,CR
1,Lamna nasus,61420,2018,2006,CR
1,Megaptera novaeangliae,13006,2018,2008,LC
1,Prionace glauca,39381,2018,2009,NT
1,Steno bredanensis,20738,2018,2012,LC
1,Alopias vulpinus,39339,2017,2009,VU
1,Balaenoptera acutorostrata,2474,2017,2008,LC
1,Balaenoptera musculus,2477,2017,2008,EN
1,Balaenoptera physalus,2478,2017,2013,EN
1,Balaenoptera physalus,16208224,2017,2012,VU
1,Carcharodon carcharias,3855,2017,2009,VU
1,Caretta caretta,3897,2017,2017,VU
1,Caretta caretta,83644804,2017,2015,LC
1,Cetorhinus maximus,4292,2017,2009,VU
1,Cetorhinus maximus,39340,2017,2009,EN
1,Dermochelys coriacea,6494,2017,2013,VU
1,Dermochelys coriacea,46967827,2017,2013,LC
1,Eubalaena glacialis,41712,2017,2012,EN
1,Isurus oxyrinchus,39341,2017,2009,VU
1,Isurus paucus,60225,2017,2006,VU
1,Lamna nasus,11200,2017,2006,VU
1,Lamna nasus,39343,2017,2006,CR
1,Lamna nasus,61420,2017,2006,CR
1,Megaptera novaeangliae,13006,2017,2008,LC
1,Prionace glauca,39381,2017,2009,NT
1,Steno bredanensis,20738,2017,2012,LC
1,Alopias vulpinus,39339,2016,2009,VU
1,Balaenoptera acutorostrata,2474,2016,2008,LC
1,Balaenoptera musculus,2477,2016,2008,EN
1,Balaenoptera physalus,2478,2016,2013,EN
1,Balaenoptera physalus,16208224,2016,2012,VU
1,Carcharodon carcharias,3855,2016,2009,VU
1,Caretta caretta,3897,2016,2015,VU
1,Caretta caretta,83644804,2016,2015,LC
1,Cetorhinus maximus,4292,2016,2009,VU
1,Cetorhinus maximus,39340,2016,2009,EN
1,Dermochelys coriacea,6494,2016,2013,VU
1,Dermochelys coriacea,46967827,2016,2013,LC
1,Eubalaena glacialis,41712,2016,2012,EN
1,Isurus oxyrinchus,39341,2016,2009,VU
1,Isurus paucus,60225,2016,2006,VU
1,Lamna nasus,11200,2016,2006,VU
1,Lamna nasus,39343,2016,2006,CR
1,Lamna nasus,61420,2016,2006,CR
1,Megaptera novaeangliae,13006,2016,2008,LC
1,Prionace glauca,39381,2016,2009,NT
1,Steno bredanensis,20738,2016,2012,LC
1,Alopias vulpinus,39339,2015,2009,VU
1,Balaenoptera acutorostrata,2474,2015,2008,LC
1,Balaenoptera musculus,2477,2015,2008,EN
1,Balaenoptera physalus,2478,2015,2013,EN
1,Balaenoptera physalus,16208224,2015,2012,VU
1,Carcharodon carcharias,3855,2015,2009,VU
1,Caretta caretta,3897,2015,2015,VU
1,Caretta caretta,83644804,2015,2015,LC
1,Cetorhinus maximus,4292,2015,2009,VU
1,Cetorhinus maximus,39340,2015,2009,EN
1,Dermochelys coriacea,6494,2015,2013,VU
1,Dermochelys coriacea,46967827,2015,2013,LC
1,Eubalaena glacialis,41712,2015,2012,EN
1,Isurus oxyrinchus,39341,2015,2009,VU
1,Isurus paucus,60225,2015,2006,VU
1,Lamna nasus,11200,2015,2006,VU
1,Lamna nasus,39343,2015,2006,CR
1,Lamna nasus,61420,2015,2006,CR
1,Megaptera novaeangliae,13006,2015,2008,LC
1,Prionace glauca,39381,2015,2009,NT
1,Steno bredanensis,20738,2015,2012,LC
1,Alopias vulpinus,39339,2014,2009,VU
1,Balaenoptera acutorostrata,2474,2014,2008,LC
1,Balaenoptera musculus,2477,2014,2008,EN
1,Balaenoptera physalus,2478,2014,2013,EN
1,Balaenoptera physalus,16208224,2014,2012,VU
1,Carcharodon carcharias,3855,2014,2009,VU
1,Caretta caretta,3897,2014,1996,EN
1,Caretta caretta,83644804,2014,,LC
1,Cetorhinus maximus,4292,2014,2009,VU
1,Cetorhinus maximus,39340,2014,2009,EN
1,Dermochelys coriacea,6494,2014,2013,VU
1,Dermochelys coriacea,46967827,2014,2013,LC
1,Eubalaena glacialis,41712,2014,2012,EN
1,Isurus oxyrinchus,39341,2014,2009,VU
1,Isurus paucus,60225,2014,2006,VU
1,Lamna nasus,11200,2014,2006,VU
1,Lamna nasus,39343,2014,2006,CR
1,Lamna nasus,61420,2014,2006,CR
1,Megaptera novaeangliae,13006,2014,2008,LC
1,Prionace glauca,39381,2014,2009,NT
1,Steno bredanensis,20738,2014,2012,LC
1,Alopias vulpinus,39339,2013,2009,VU
1,Balaenoptera acutorostrata,2474,2013,2008,LC
1,Balaenoptera musculus,2477,2013,2008,EN
1,Balaenoptera physalus,2478,2013,2013,EN
1,Balaenoptera physalus,16208224,2013,2012,VU
1,Carcharodon carcharias,3855,2013,2009,VU
1,Caretta caretta,3897,2013,1996,EN
1,Caretta caretta,83644804,2013,,LC
1,Cetorhinus maximus,4292,2013,2009,VU
1,Cetorhinus maximus,39340,2013,2009,EN
1,Dermochelys coriacea,6494,2013,2013,VU
1,Dermochelys coriacea,46967827,2013,2013,LC
1,Eubalaena glacialis,41712,2013,2012,EN
1,Isurus oxyrinchus,39341,2013,2009,VU
1,Isurus paucus,60225,2013,2006,VU
1,Lamna nasus,11200,2013,2006,VU
1,Lamna nasus,39343,2013,2006,CR
1,Lamna nasus,61420,2013,2006,CR
1,Megaptera novaeangliae,13006,2013,2008,LC
1,Prionace glauca,39381,2013,2009,NT
1,Steno bredanensis,20738,2013,2012,LC
1,Alopias vulpinus,39339,2012,2009,VU
