rgn_id,year,pressure_score
1,2009,0
1,2010,0.00347068092870966
1,2011,0.101190506966556
1,2012,0.197782659532195
1,2013,0.1085144
1,2014,0.1030572
1,2015,0.2029252
1,2016,0.1441736
1,2017,0.2021723
2,2009,0
2,2010,0.00347068092870966
2,2011,0.101190506966556
2,2012,0.197782659532195
2,2013,0.1085144
2,2014,0.1030572
2,2015,0.2029252
2,2016,0.1441736
2,2017,0.2021723
3,2009,0
3,2010,0.00347068092870966
3,2011,0.101190506966556
3,2012,0.197782659532195
3,2013,0.1085144
3,2014,0.1030572
3,2015,0.2029252
3,2016,0.1441736
3,2017,0.2021723
4,2009,0
4,2010,0.00347068092870966
4,2011,0.101190506966556
4,2012,0.197782659532195
4,2013,0.1085144
4,2014,0.1030572
4,2015,0.2029252
4,2016,0.1441736
4,2017,0.2021723
5,2009,0
5,2010,0.00347068092870966
5,2011,0.101190506966556
5,2012,0.197782659532195
5,2013,0.1085144
5,2014,0.1030572
5,2015,0.2029252
5,2016,0.1441736
5,2017,0.2021723
6,2009,0
6,2010,0.00347068092870966
6,2011,0.101190506966556
6,2012,0.197782659532195
6,2013,0.1085144
6,2014,0.1030572
6,2015,0.2029252
6,2016,0.1441736
6,2017,0.2021723
7,2009,0
7,2010,0.00347068092870966
7,2011,0.101190506966556
7,2012,0.197782659532195
7,2013,0.1085144
7,2014,0.1030572
7,2015,0.2029252
7,2016,0.1441736
7,2017,0.2021723
